team,opponent,wins,losses
noobcoder,kingdom-of-afternoon-naps,9,48
noobcoder,the-mad-robotanists,0,19
noobcoder,the-casuals,19,75
noobcoder,chios,9,48
noobcoder,wut,27,55
noobcoder,binary-tree-stars,5,37
noobcoder,nausicaa,0,24
noobcoder,golbat-plants,16,34
noobcoder,the-goldman-clause,0,9
noobcoder,something-fun,8,28
noobcoder,needs-review,0,19
noobcoder,the-bagelers,5,35
noobcoder,null,0,45
noobcoder,nurv,19,53
noobcoder,gg-no-re,47,66
noobcoder,linymf,23,64
noobcoder,paper-pumpkin-posse,2,14
noobcoder,bojibbles,48,37
noobcoder,u-w0t-m8,0,32
noobcoder,the-great-dequeue-tree,16,58
noobcoder,failedtomakeateamname_2jpg,0,27
noobcoder,rest-in-pepperonis,29,37
noobcoder,the-ladder-dwellers,21,54
noobcoder,sudo-team,19,48
noobcoder,one-man-down,12,28
noobcoder,ratchet-rockers,9,47
noobcoder,420_cultivate_it,29,27
noobcoder,farally,15,38
noobcoder,lumate,17,85
noobcoder,we-came-for-the-food,0,24
noobcoder,the-ancients-are-at-mac-ten-spittin,6,28
noobcoder,mendelian-nightmare,1,48
noobcoder,teem-bahd-spelers,0,19
noobcoder,little-team-of-horrors,3,58
noobcoder,cognitive-play,2,33
noobcoder,team-gen-knoxx,14,65
noobcoder,petey-piranha,1,32
noobcoder,oversized-grow-lamp,0,14
noobcoder,we-came-for-the-shirts,16,39
noobcoder,the-square-roots,0,26
noobcoder,7-liters-of-darkness,2,26
noobcoder,farm-simulator-2014,0,21
noobcoder,tbredblacktree,42,29
noobcoder,the-deku-scrubs,0,20
kingdom-of-afternoon-naps,noobcoder,48,9
kingdom-of-afternoon-naps,the-mad-robotanists,23,24
kingdom-of-afternoon-naps,chios,42,21
kingdom-of-afternoon-naps,wut,55,10
kingdom-of-afternoon-naps,binary-tree-stars,43,31
kingdom-of-afternoon-naps,nausicaa,0,67
kingdom-of-afternoon-naps,golbat-plants,15,40
kingdom-of-afternoon-naps,needs-review,0,34
kingdom-of-afternoon-naps,something-fun,4,56
kingdom-of-afternoon-naps,the-goldman-clause,2,30
kingdom-of-afternoon-naps,the-bagelers,7,52
kingdom-of-afternoon-naps,null,0,45
kingdom-of-afternoon-naps,nurv,57,11
kingdom-of-afternoon-naps,gg-no-re,91,14
kingdom-of-afternoon-naps,linymf,42,15
kingdom-of-afternoon-naps,paper-pumpkin-posse,0,40
kingdom-of-afternoon-naps,bojibbles,73,1
kingdom-of-afternoon-naps,u-w0t-m8,35,32
kingdom-of-afternoon-naps,the-great-dequeue-tree,69,17
kingdom-of-afternoon-naps,failedtomakeateamname_2jpg,0,54
kingdom-of-afternoon-naps,rest-in-pepperonis,33,25
kingdom-of-afternoon-naps,the-ladder-dwellers,57,12
kingdom-of-afternoon-naps,sudo-team,62,7
kingdom-of-afternoon-naps,one-man-down,4,35
kingdom-of-afternoon-naps,ratchet-rockers,13,53
kingdom-of-afternoon-naps,420_cultivate_it,70,0
kingdom-of-afternoon-naps,farally,44,12
kingdom-of-afternoon-naps,lumate,31,39
kingdom-of-afternoon-naps,we-came-for-the-food,0,55
kingdom-of-afternoon-naps,the-ancients-are-at-mac-ten-spittin,13,42
kingdom-of-afternoon-naps,mendelian-nightmare,8,63
kingdom-of-afternoon-naps,teem-bahd-spelers,0,33
kingdom-of-afternoon-naps,little-team-of-horrors,23,38
kingdom-of-afternoon-naps,farm-simulator-2014,0,52
kingdom-of-afternoon-naps,cognitive-play,0,53
kingdom-of-afternoon-naps,team-gen-knoxx,23,31
kingdom-of-afternoon-naps,petey-piranha,12,35
kingdom-of-afternoon-naps,oversized-grow-lamp,0,36
kingdom-of-afternoon-naps,we-came-for-the-shirts,39,25
kingdom-of-afternoon-naps,the-square-roots,0,40
kingdom-of-afternoon-naps,7-liters-of-darkness,6,46
kingdom-of-afternoon-naps,the-casuals,41,30
kingdom-of-afternoon-naps,tbredblacktree,74,0
kingdom-of-afternoon-naps,the-deku-scrubs,0,38
the-mad-robotanists,noobcoder,19,0
the-mad-robotanists,kingdom-of-afternoon-naps,24,23
the-mad-robotanists,chios,41,0
the-mad-robotanists,wut,29,0
the-mad-robotanists,420_cultivate_it,30,0
the-mad-robotanists,binary-tree-stars,77,1
the-mad-robotanists,nausicaa,96,0
the-mad-robotanists,golbat-plants,56,51
the-mad-robotanists,needs-review,9,75
the-mad-robotanists,something-fun,6,46
the-mad-robotanists,the-goldman-clause,86,18
the-mad-robotanists,the-bagelers,57,5
the-mad-robotanists,null,56,0
the-mad-robotanists,nurv,34,0
the-mad-robotanists,gg-no-re,17,0
the-mad-robotanists,linymf,26,0
the-mad-robotanists,paper-pumpkin-posse,20,119
the-mad-robotanists,bojibbles,29,0
the-mad-robotanists,u-w0t-m8,62,0
the-mad-robotanists,the-great-dequeue-tree,22,0
the-mad-robotanists,failedtomakeateamname_2jpg,55,0
the-mad-robotanists,rest-in-pepperonis,30,0
the-mad-robotanists,the-ladder-dwellers,37,0
the-mad-robotanists,sudo-team,25,0
the-mad-robotanists,one-man-down,59,0
the-mad-robotanists,ratchet-rockers,37,0
the-mad-robotanists,farm-simulator-2014,51,43
the-mad-robotanists,farally,33,0
the-mad-robotanists,we-came-for-the-food,95,0
the-mad-robotanists,lumate,30,0
the-mad-robotanists,the-ancients-are-at-mac-ten-spittin,57,0
the-mad-robotanists,petey-piranha,74,0
the-mad-robotanists,teem-bahd-spelers,82,53
the-mad-robotanists,little-team-of-horrors,35,0
the-mad-robotanists,cognitive-play,76,20
the-mad-robotanists,team-gen-knoxx,17,0
the-mad-robotanists,mendelian-nightmare,60,4
the-mad-robotanists,oversized-grow-lamp,79,57
the-mad-robotanists,we-came-for-the-shirts,39,0
the-mad-robotanists,the-square-roots,14,91
the-mad-robotanists,7-liters-of-darkness,76,10
the-mad-robotanists,the-casuals,13,0
the-mad-robotanists,tbredblacktree,27,0
the-mad-robotanists,the-deku-scrubs,74,11
chios,kingdom-of-afternoon-naps,21,42
chios,noobcoder,48,9
chios,the-mad-robotanists,0,41
chios,wut,57,30
chios,420_cultivate_it,65,3
chios,binary-tree-stars,18,38
chios,nausicaa,0,50
chios,the-goldman-clause,0,28
chios,something-fun,0,40
chios,needs-review,1,31
chios,the-bagelers,0,54
chios,null,11,47
chios,nurv,62,15
chios,linymf,35,18
chios,the-casuals,82,6
chios,bojibbles,47,19
chios,u-w0t-m8,0,53
chios,we-came-for-the-shirts,36,33
chios,the-great-dequeue-tree,55,18
chios,failedtomakeateamname_2jpg,0,58
chios,rest-in-pepperonis,48,18
chios,oversized-grow-lamp,0,43
chios,the-ladder-dwellers,78,11
chios,sudo-team,53,23
chios,one-man-down,9,42
chios,ratchet-rockers,13,60
chios,gg-no-re,67,12
chios,farally,44,28
chios,lumate,42,40
chios,we-came-for-the-food,0,36
chios,the-ancients-are-at-mac-ten-spittin,15,51
chios,mendelian-nightmare,6,50
chios,paper-pumpkin-posse,0,29
chios,little-team-of-horrors,29,30
chios,cognitive-play,1,41
chios,team-gen-knoxx,62,7
chios,petey-piranha,4,51
chios,golbat-plants,4,44
chios,teem-bahd-spelers,0,37
chios,the-square-roots,0,32
chios,7-liters-of-darkness,0,54
chios,farm-simulator-2014,1,56
chios,tbredblacktree,42,26
chios,the-deku-scrubs,0,53
wut,noobcoder,55,27
wut,kingdom-of-afternoon-naps,10,55
wut,the-mad-robotanists,0,29
wut,chios,30,57
wut,binary-tree-stars,1,59
wut,nausicaa,0,30
wut,golbat-plants,0,19
wut,the-goldman-clause,0,23
wut,something-fun,1,36
wut,needs-review,0,18
wut,the-bagelers,0,40
wut,null,4,66
wut,nurv,38,43
wut,gg-no-re,78,23
wut,linymf,47,45
wut,the-casuals,71,28
wut,bojibbles,19,58
wut,u-w0t-m8,1,48
wut,the-great-dequeue-tree,45,48
wut,failedtomakeateamname_2jpg,0,48
wut,rest-in-pepperonis,23,43
wut,the-ladder-dwellers,45,53
wut,sudo-team,48,50
wut,one-man-down,1,33
wut,ratchet-rockers,12,55
wut,420_cultivate_it,11,64
wut,farally,32,40
wut,lumate,73,42
wut,we-came-for-the-food,1,36
wut,the-ancients-are-at-mac-ten-spittin,4,55
wut,paper-pumpkin-posse,0,22
wut,petey-piranha,1,47
wut,teem-bahd-spelers,0,31
wut,little-team-of-horrors,30,34
wut,cognitive-play,1,36
wut,team-gen-knoxx,58,21
wut,mendelian-nightmare,0,53
wut,oversized-grow-lamp,0,26
wut,we-came-for-the-shirts,2,71
wut,the-square-roots,0,27
wut,7-liters-of-darkness,2,39
wut,farm-simulator-2014,0,45
wut,tbredblacktree,23,60
wut,the-deku-scrubs,0,25
binary-tree-stars,noobcoder,37,5
binary-tree-stars,kingdom-of-afternoon-naps,31,43
binary-tree-stars,the-mad-robotanists,1,77
binary-tree-stars,the-casuals,49,3
binary-tree-stars,chios,38,18
binary-tree-stars,wut,59,1
binary-tree-stars,nausicaa,0,83
binary-tree-stars,golbat-plants,2,66
binary-tree-stars,the-goldman-clause,0,44
binary-tree-stars,something-fun,57,1
binary-tree-stars,needs-review,0,47
binary-tree-stars,the-bagelers,76,10
binary-tree-stars,null,29,43
binary-tree-stars,nurv,45,1
binary-tree-stars,gg-no-re,49,1
binary-tree-stars,linymf,33,1
binary-tree-stars,teem-bahd-spelers,0,51
binary-tree-stars,bojibbles,40,13
binary-tree-stars,u-w0t-m8,3,65
